Malaya rules_normalizer — 3374 entries
==================================================

&                              -> dan
ingi                           -> ingin
inginkn                        -> inginkan
ingt                           -> ingat
inia                           -> ini
iniehh                         -> ini
inih                           -> ini
iniw                           -> ini
insonniaaa                     -> insomnia
iooo                           -> lah
isn t                          -> tidak
istiqamah                      -> istikamah
istiqomah                      -> istiqamah
istiqomahhh                    -> istikamah
isyaallah                      -> insyallah
ithu                           -> itu
ituh                           -> itu
itungan                        -> hitungan
ityl                           -> kelentit
iyaappps                       -> ya
iyah                           -> ya
iyak                           -> ya
iyap                           -> ya
iyh                            -> ya
iyha                           -> ya
iyuh                           -> ayuh
iyuuhhh                        -> ayuh
iyuuuhhhh                      -> ayuh
ja                             -> sahaja
jadiin                         -> jadikan
jadilh                         -> jadilah
jadu                           -> jadi
jadulnya                       -> zaman dahulu
jagain                         -> menjaga
jahatin                        -> menjahati
jakety                         -> jaketnya
jalanani                       -> menjalani
jalanin                        -> menjalani
jamam                          -> jaman
janjutin                       -> lanjutkan
janka                          -> jangka
january                        -> januari
jaoooh                         -> jauh
japan                          -> jepun
jatoh                          -> jatuh
jauhin                         -> jauhi
jawabanny                      -> jawabannya
jd                             -> jadi
jd'y                           -> jadinya
jdi                            -> jadi
jdii                           -> jadi
jdulnya                        -> judulnya
jdwl                           -> jadwal
je                             -> sahaja
jee                            -> sahaja
jek                            -> sahaja
jela                           -> sahaja lah
jelah                          -> sahaja lah
jelase                         -> jelas
jelashh                        -> jelas
jelek"in                       -> menjelek-jelekkan
jelekin                        -> menjelekkan
jelex                          -> jelek
jendes                         -> janda
jendess                        -> janda
jendesss                       -> janda
jendral                        -> jenderal
jepun                          -> jepun
jer                            -> sahaja
jerewi                         -> jerawat
jerr                           -> sahaja
jez                            -> sahaja
jg                             -> juga
jgan                           -> jangan
jgk                            -> juga
jgn                            -> jangan
jgnla                          -> janganlah
jhor                           -> johor
jibake                         -> celaka
jidad                          -> jidat
jilake                         -> celaka
jilbabny                       -> jilbabnya
jilbabnyaah                    -> jilbabnya
jilbabnye                      -> jilbabnya
jilbb                          -> jilbab
jing                           -> anjing
jirr                           -> anjing
jirrrr                         -> anjing
jjur                           -> jujur
jkrta                          -> jakarta
jkt                            -> jakarta
jlbb                           -> jilbab
jlek                           -> jelek
jln                            -> jalan
jmnya                          -> jamnya
jmpaaaa                        -> jumpa
jnagn                          -> jangan
jnda                           -> janda
jng                            -> jangan
jngan                          -> jangan
jngn                           -> jangan
jngnn                          -> jangan
jnt                            -> J&T Express
job                            -> kerja
jobscope                       -> skop kerja
jodohny                        -> jodohnya
jodohx                         -> jodohnya
jogetin                        -> berjoget
jogja                          -> jogjakarta
jombsss                        -> bujang
jpam                           -> jpam
jrang                          -> jarang
jrnk                           -> jarang
jth                            -> jatuh
jugak                          -> juga
july                           -> julai
june                           -> jun
justeru                        -> justru
jwab                           -> jawab
jwb                            -> jawab
jwban                          -> jawaban
k                              -> okay
ka                             -> ke
kaa                            -> kak
kaasian                        -> kasihan
kacian                         -> kasihan
kaciiaann                      -> kasihan
kafeh                          -> kafe
kaga                           -> bukan
kahwen                         -> kahwin
kaitannha                      -> kaitannya
kaj                            -> kak
kakakgh                        -> kakak
kakakny                        -> kakaknya
kakanga                        -> kakaknya
kakanya                        -> kakaknya
kakau                          -> kalau
kalahnye                       -> kalahnya
kale                           -> kali
kaleee                         -> kali
kalik                          -> kali
kalo                           -> kalau
kalogak                        -> kalau tidak
kalok                          -> kalau
kalu                           -> kalau
kalw                           -> kalau
kam                            -> kamu
kamo                           -> kamu
kampungn                       -> kampungan
kamyuhhh                       -> kamu
kana                           -> kanan
kanapa                         -> kenapa
kancang                        -> kencang
kang                           -> nanti
kangem                         -> rindu
kantoi                         -> terbongkar rahsia
kapn                           -> bila
kareno                         -> kerana
karir.a                        -> karirnya
karna                          -> kerana
kartunin                       -> kartun
kasi                           -> bagi
kasian                         -> kasihan
kasiannn                       -> kasihan
kasiatnya                      -> khasiatnya
kasihn                         -> kasihan
kasiian                        -> kasihan
kat                            -> di
kate                           -> kata
kau                            -> kamu
kawen                          -> kahwin
kawinin                        -> mengawini
kaya'a                         -> kayanya
kayahhh                        -> kaya
kayanye                        -> kayanya
kayaq                          -> kayak
kayax                          -> kayak
kbahagiaan                     -> kebahagiaan
kbawa                          -> terbawa
kberkahn                       -> keberkahan
kbetulan                       -> kebetulan
kbiasaan                       -> kebiasaan
kbye                           -> ok bye
kcantikan                      -> kecantikan
kcewa                          -> kecewa
kcil                           -> kecil
kcwa                           -> kecewa
kdah                           -> kedah
kdang                          -> kadang
kdg                            -> kadang
kdg2                           -> kadang-kadang
kdng                           -> kadang
kdua                           -> kedua
keak                           -> kayak
kearah                         -> ke arah
kebagi                         -> terbagi
kebaikan"y                     -> kebaikannya
kebalas                        -> terbalas
kebangetak                     -> kebanggaan
kebanggan                      -> kebanggaan
kebawa                         -> terbawa
kebayang                       -> terbayang
keberpa                        -> keberapa
kebnyak'an                     -> kebanyakan
kebongkar                      -> terbongkar
kebukaaa                       -> terbuka
kebukti                        -> terbukti
kebykan                        -> kebanyakan
kecantikanga                   -> kecantikannya
keche                          -> kece
kecik                          -> kecil
kecptan                        -> kecepatan
kecr                           -> kece
kedengeran                     -> kedengaran
kedpan                         -> kedepan
keedaannya                     -> keadaannya
keinget                        -> teringat
keja                           -> kerja
kejadianny                     -> kejadiannya
kejahatn                       -> kejahatan
kejawab                        -> terjawab
keje                           -> kerja
kejo                           -> kerja
kekadang                       -> kadang - kadang
kekdah                         -> kaedah
kekgini                        -> macam ni
kekk                           -> kayak
keknya                         -> kayaknya
keksongan                      -> kekosongan
kekuranganny                   -> kekurangannya
kel                            -> keluarga
kelahuran                      -> kelahiran
kelaluan                       -> kelakuan
kelas'a                        -> kelasnya
kelate                         -> kelantan
keles                          -> kali
keliatan                       -> kelihatan
keliatannya                    -> kelihatannya
kellen                         -> kalian
keluarin                       -> keluarkan
kelus                          -> kali
kemakan                        -> termakan
kemana                         -> ke mana
kemaren                        -> kelmarin
kemarn                         -> kelmarin
kembaq                         -> kembar
kemn                           -> kemana
kemuh                          -> kamu
kenaliiin                      -> kenalkan
kenalin                        -> memperkenalkan
kenape                         -> kenapa
kenceng                        -> kencang
kencng                         -> kencang
kencqng                        -> kencang
kene                           -> kena
kenekan                        -> kenakan
kepad                          -> kepada
kepd                           -> kepada
kepda                          -> kepada
kepeleset                      -> tergelincir
kepelesett                     -> terpeleset
kepikir                        -> terpikir
kepingin                       -> ingin
kepoh                          -> kepo
kepoin                         -> kepo
keputihn                       -> keputihan
kerasin                        -> kerasi
kerjaan                        -> pekerjaan
kesah                          -> kisah
kesalahanny                    -> kesalahannya
kesampean                      -> kesampaian
ketaatanny                     -> ketaatannya
ketara                         -> tertara
ketarik                        -> tertarik
ketauan                        -> ketahuan
ketawain                       -> mentertawakan
ketawakkkk                     -> ketawa
ketempat                       -> ke tempat
ketipu                         -> tertipu
ketuker                        -> tertukar
kg                             -> kampung
kgak                           -> bukan
kgeeeen                        -> rindu
kgn                            -> rindu
kha                            -> kah
khadiran                       -> kehadiran
khadirannya                    -> kehadirannya
khan                           -> kan
kharismanya                    -> karismanya
khdpn                          -> kehidupan
khidupan                       -> kehidupan
kije                           -> kerja
kijo                           -> kerja
kilo                           -> kilogram
kirain                         -> mengira
kirimin                        -> mengirimi
kiss                           -> cium
kite                           -> kita
kiter                          -> kita
kito                           -> kita
kitorang                       -> kami
kiya                           -> kita
kje                            -> kerja
kjr                            -> kerja
kk                             -> okay
kkak                           -> kakak
kki                            -> kaki
kklau                          -> kalau
kl                             -> kuala lumpur
klahiran                       -> kelahiran
klai                           -> kalau
klakuan                        -> kelakuan
klas                           -> kelas
klate                          -> kelantan
klau                           -> kalau
klen                           -> kalian
klg                            -> keluarga
klhran                         -> kelahiran
kli                            -> kali
klia                           -> klia
klian                          -> kalian
kliatan                        -> kelihatan
kliatanya                      -> kelihatannya
klihatan                       -> kelihatan
klk                            -> kelak
klkuan                         -> kelakuan
kll                            -> kalau
klmbutan                       -> kelembutan
kln                            -> kalian
klntan                         -> kelantan
klntn                          -> kelantan
klo                            -> kalau
klok                           -> kalau
klow                           -> kalau
klrga                          -> keluarga
klu                            -> kalau
kluar                          -> keluar
kluarga                        -> keluarga
kluo                           -> keluar
klw                            -> kalau
kmana                          -> kemana
kmar                           -> kamar
kmaren                         -> kelmarin
kmarin                         -> kelmarin
kmauan                         -> kemahuan
kmbali                         -> kembali
kmbang                         -> kembang
kmbl                           -> kembali
kmewahan                       -> kemewahan
kmi                            -> kami
kmn                            -> kemana
kmren                          -> kelmarin
kmrin                          -> kelmarin
kmrn                           -> kelmarin
kmu                            -> kamu
kn                             -> kan
knan                           -> kanan
knapa                          -> kenapa
kndung                         -> kandung
kne                            -> kena
kngen                          -> rindu
kngenn                         -> rindu
kngn                           -> rindu
knlan                          -> kenalan
knp                            -> kenapa
knpa                           -> kenapa
knpp                           -> kenapa
knsul                          -> konsultasi
knyataan                       -> kenyataan
ko                             -> kamu
kobul                          -> kabul
koclak                         -> kocak
kokohh                         -> engkoh
komenan                        -> komen
komenannya                     -> komentarnya
koment                         -> komen
komentarin                     -> mengomentari
komentnya                      -> komentarnya
komenx                         -> komennya
komntr                         -> komen
kompek                         -> plastik
kompom                         -> sah
komuk                          -> muka
konsekwensi                    -> konsekuensi
konsul                         -> konsultasi
koplak                         -> kocak
koq                            -> kok
korang                         -> kamu semua
korea                          -> korea
korg                           -> kamu semua
kostom                         -> kostum
kot                            -> mungkin
kox                            -> kok
kpada                          -> kepada
kpan                           -> bila
kpancing                       -> terpancing
kpd                            -> kepada
kpleset                        -> tergelincir
kpnpun                         -> bila pun
kpuasan                        -> kepuasan
kqmu                           -> kamu
kra                            -> kira
kraya                          -> karya
kreative                       -> kreatif
kreean                         -> keren
kreeenn                        -> keren
kren                           -> keren
krena                          -> kerana
krenn                          -> bergaya
kri                            -> kiri
kriput                         -> keriput
krja                           -> kerja
krjaan                         -> pekerjaan
krm                            -> kirim
krmh                           -> ke rumah
krn                            -> kerana
krna                           -> kerana
krng                           -> kurang
krpoooo                        -> kepo
krudung                        -> kerudung
krudungan                      -> kerudungan
krus                           -> kurus
krya                           -> karya
ksalahan                       -> kesalahan
ksenangan                      -> kesenangan
ksh                            -> kasih
ksih                           -> kasih
ksini                          -> kesini
ksitu                          -> kesitu
kslahan                        -> kesalahan
kslhn                          -> kesalahan
ksni                           -> kesini
ksukaanmuuu                    -> kesukaanmu
ksyngn                         -> kesayangan
kt                             -> di
kt2                            -> kata-kata
kta                            -> kita
ktaa                           -> kita
ktaatan                        -> ketaatan
ktanya                         -> katanya
ktawa                          -> ketawa
ktemu                          -> ketemu
ktergantungan                  -> ketergantungan
ktg                            -> kita
ktika                          -> ketika
ktmu                           -> ketemu
ktny                           -> katanya
ktnya                          -> katanya
ktwa                           -> ketawa
kuar                           -> keluar
kubarikan                      -> kuberikan
kucing'y                       -> kucingnya
kueren2                        -> keren-keren
kuliyh                         -> kuliah
kunjungin                      -> kunjungi
kurangin                       -> kurangi
kurng                          -> kurang
kusem                          -> kusam
kususnya                       -> khususnya
kut                            -> mungkin
kuy                            -> ya
kuyy                           -> ya
kuyyy                          -> yuk
kwatir                         -> khuatir
kyak                           -> kayak
kyaknya                        -> nampaknya
kyanya                         -> kayanya
kyax                           -> kayak
kyk                            -> macam
kyk.a                          -> kayaknya
kyknya                         -> kayaknya
kyy                            -> kaya
la                             -> lah
laa                            -> lah
ladenin                        -> meladeni
laen                           -> lain
laenny                         -> lainnya
lafazd                         -> lafaz
lagihh                         -> lagi
laginy                         -> laginya
lagu'y                         -> lagunya
lahabau                        -> celaka
lahanat                        -> celaka
lainda                         -> lain dah
lairannya                      -> kelahirannya
lak                            -> pula
laki                           -> lelaki
lakik                          -> laki
lakuin                         -> melakukan
lalok                          -> mabuk
lancr                          -> lancar
langgenh                       -> selamanya
lanjutin                       -> lanjutkan
last                           -> akhir
latian                         -> latihan
lbih                           -> lebih
lcu                            -> lucu
le                             -> lah
leader                         -> ketua
leave                          -> pergi
lebh                           -> lebih
ledekin                        -> ledeki
ledkin                         -> meledeki
leh                            -> boleh
lekong                         -> laki
lenje                          -> lenjeh
lepasin                        -> melepas
lepasni                        -> lepas ini
lepastu                        -> lepas itu
ler                            -> lah
less                           -> kurang
letter                         -> surat
lg                             -> lagi
lggeng                         -> selamanya
lggi                           -> lagi
lgi                            -> lagi
lgkah2                         -> langkah-langkah
lgs                            -> langsung
lgsg                           -> langsung
lgsung                         -> langsung
lgu                            -> lagu
lgunya                         -> lagunya
lh                             -> lah
lha                            -> lah
lhat                           -> lihat
lhir                           -> lahir
lhirr                          -> lahir
lhoo                           -> lah
lhooo                          -> lah
lht                            -> lihat
liaat                          -> lihat
liad                           -> lihat
liat                           -> lihat
liat'y                         -> lihatnya
liat2                          -> lihat-lihat
liatiii                        -> lihat
liatin                         -> perlihatkan
liatlah                        -> lihatlah
liatnya                        -> lihatnya
liatnyaaa                      -> lihatnya
liatt                          -> lihat
liht                           -> lihat
lipak                          -> tipu
lipetan                        -> lipatan
liptsk                         -> lipstik
liyat                          -> lihat
liyatnya                       -> lihatnya
lkuin                          -> lakukan
llki                           -> lelaki
lngsing                        -> langsing
lngsong                        -> langsung
lngsung                        -> langsung
lobai                          -> pak lebai
loksyut                        -> lokasi penggambaran
lol                            -> haha
loo                            -> lah
lorr                           -> lah
low                            -> rendah
lps                            -> lepas
lpsni                          -> lepas ini
lsg                            -> langsung
lu                             -> kamu
luchu                          -> lucu
luco                           -> lucu
lucuk                          -> lucu
lucukkkkk                      -> lucu
lucunaaa                       -> lucunya
lucunyah                       -> lucunya
lucuukk                        -> lucu
lucux                          -> lucunya
luggage                        -> bagasi
luh                            -> kamu
luhhh                          -> kamu
lumbe                          -> lumba
lunch                          -> makan tengahari
lupain                         -> melupakan
lurusin                        -> meluruskan
luthuna                        -> lucunya
lutuna                         -> lucunya
lutunaa                        -> lucunya
lutunaaa                       -> lucunya
lyak                           -> layak
lyt                            -> lihat
maacih                         -> terima kasih
maafin                         -> memaafi
maap                           -> maaf
maapin                         -> maafkan
maapkan                        -> maafkan
macem                          -> macam
macik2                         -> makcik-makcik
maen                           -> main
maenya                         -> mainnya
mahai                          -> mahal
maho                           -> manusia homo
mai                            -> datang
makany                         -> makanya
makasi                         -> terima kasih
makasih                        -> terima kasih
make                           -> memakai
makny                          -> maknya
maksain                        -> memaksakan
maksd                          -> maksud
maksih                         -> terima kasih
maksir                         -> menaksir
maksutku                       -> maksudku
makwe                          -> teman perempuan
malem                          -> malam
males                          -> malas
malh                           -> malah
malsudnya                      -> maksudnya
mamas                          -> mas
mamax                          -> mamanya
mamer                          -> memamerkan
mampos                         -> mampus
mana-manapun                   -> mana-mana juga
mancungin                      -> memancungkan
mandiin                        -> memandikan
mang                           -> memang
manjain                        -> memanjakan
manoi                          -> mana
mansetan                       -> bermanset
mansyoallah                    -> masyaallah
manta                          -> mantan
mantabs                        -> mantab
mantaff                        -> mantap
mantanny                       -> mantannya
manteb                         -> mantap
manteep                        -> mantap
mantep                         -> mantap
mantepp                        -> mantap
mantes                         -> memantas
manusiy                        -> manusia
mao                            -> mahu
march                          -> mac
marh                           -> marah
mart                           -> kedai
maseh                          -> terima kasih
masi                           -> masih
masio                          -> masih
maslah                         -> masalah
maso                           -> masa
masukin                        -> memasuki
masyarakay                     -> masyarakat
mata'y                         -> matanya
matany                         -> matanya
mataq                          -> mataku
mateeeeeeeeeeee                -> mati
mateeeek                       -> mati
mato                           -> mata
mau                            -> mahu
maw                            -> mahu
may                            -> mei
mayan                          -> lumayan
mayann                         -> lumayan
mba                            -> mbak
mbaknyaahh                     -> temannya
mbakx                          -> kakak
mbanya                         -> temannya
mbil                           -> sambil
mblo                           -> bujang
mblooo                         -> bujang
mboizzz                        -> bois
mbuh                           -> embuh
mcm                            -> macam
mcmn                           -> macam mana
mcmtu                          -> macam itu
megang                         -> memegang
meker                          -> mikir
melahirin                      -> melahirkan
melakukn                       -> melakukan
melebihin                      -> melebihi
melepek                        -> tidak bermaya
melihara                       -> memelihara
meluk                          -> memeluk
memerlukn                      -> memerlukan
menasehati                     -> menasihati
menbelah                       -> membelah
mendam                         -> memendam
mendapatkn                     -> mendapatkan
mendj                          -> menjadi
menegerti                      -> mengerti
mengalahkn                     -> mengalahkan
mengembirakan                  -> menggembirakan
mengherthii                    -> mengerti
menghilangkn                   -> menghilangkan
mengirusi                      -> mengurusi
mengmbilnyer                   -> mengambilnya
mengncang                      -> mengencang
mengperbolehkan                -> memperbolehkan
mengtasi                       -> mengatasi
menjdi                         -> menjadi
menjelekan                     -> menjelekkan
menurur                        -> menurut
menyenangkn                    -> menyenangkan
meranin                        -> memerankan
merekak                        -> mereka
merka                          -> mereka
merrid                         -> merit
mesrany                        -> mesranya
mff                            -> maaf
mg                             -> memang
mgkin                          -> mungkin
mgkn                           -> mungkin
miara                          -> memiara
mihak                          -> memihak
mikirin                        -> memikirkan
milih                          -> memilih
milikin                        -> memiliki
mimin                          -> admin
min                            -> admin
mingu                          -> minggu
minpi                          -> mimpi
minta                          -> meminta
mintak                         -> minta
mintk                          -> minta
mirp                           -> mirip
mitnah                         -> memfitnah
mjtuhkn                        -> menjatuhkan
mk.a                           -> makanya
mkanya                         -> makanya
mkin                           -> makin
mkir                           -> memikir
mknya                          -> makanya
mksd                           -> maksud
mksdku                         -> maksudku
mksdny                         -> maksudnya
mksdnya                        -> maksudnya
mksdx                          -> maksudnya
mksh                           -> terima kasih
mksih                          -> terima kasih
mkst                           -> maksud
mksud                          -> maksud
mkyong                         -> mak yong
mlah                           -> malah
mlepaskan                      -> melepaskan
mlibatkn                       -> melibatkan
mlikk                          -> milik
mlt.a                          -> mulutnya
mlz                            -> malas
mmang                          -> memang
mmbanggakan                    -> membanggakan
mmbela                         -> membela
mmberi                         -> memberi
mmberikan                      -> memberikan
mmberikn                       -> memberikan
mmbodohkan                     -> membodohkan
mmg                            -> memang
mmnjang                        -> memanjang
mmperbaiki                     -> memperbaiki
mmpos                          -> mampus
mmz                            -> mas
mn                             -> mana
mna                            -> mana
mnambh                         -> menambah
mncoba                         -> mencoba
mndaptkan                      -> mendapatkan
mnding                         -> mending
mndpat                         -> mendapat
mndpt                          -> mendapat
mnerima                        -> menerima
mngasi                         -> mengasih
mngerti                        -> mengerti
mnghina                        -> menghina
mngikuti                       -> mengikuti
mngira                         -> mengira
mngkannya                      -> mangkanya
mngkin                         -> mungkin
mnilai                         -> menilai
mnisss                         -> manis
mnjadi                         -> menjadi
mnjawab                        -> menjawab
mnjdi                          -> menjadi
mnjdkan                        -> menjadikan
mnjijikaaaaaan                 -> menjijikkan
mnjmput                        -> menjemput
mnjual                         -> menjual
mnrtkuu                        -> menurutku
mnt                            -> minta
mnta                           -> minta
mntak                          -> minta
mntk                           -> minta
mntn                           -> mantan
mnusuk                         -> menusuk
mnutup                         -> menutup
mnyusun                        -> menyusun
modes                          -> modis
mohom                          -> mohon
mon                            -> isnin
monday                         -> isnin
mood                           -> suasana
moqa                           -> moga
most                           -> paling
motret                         -> ambil gambar
mr                             -> tuan
mrah                           -> marah
mrangkul                       -> merangkul
mreka                          -> mereka
mrekaa                         -> mereka
mrekaaaa                       -> mereka
mrip                           -> mirip
mrit                           -> merit
mrk                            -> mereka
mrka                           -> mereka
mrnghadapi                     -> menghadapi
mrusak                         -> merosak
msa                            -> masa
msalah                         -> masalah
msg2                           -> masing-masing
msh                            -> masih
msia                           -> malaysia
msih                           -> masih
mskasih                        -> terima kasih
msknya                         -> masaknya
mslh                           -> masalah
mslhnya                        -> masalahnya
mst                            -> mesti
msuk                           -> masuk
mtanya                         -> matanya
mti                            -> mati
mu                             -> awak
muantaap                       -> mantap
muantteepp                     -> mantap
much                           -> banyak
muga                           -> moga
mukae                          -> mukanya
mukax                          -> mukanya
muke                           -> muka
muko                           -> muka
muliany                        -> mulianya
mulutny                        -> mulutnya
mum                            -> emak
muna                           -> munafik
mungki                         -> mungkin
mupeng                         -> muka ingin
murhan                         -> murahan
murmer                         -> murah meriah
mutihin                        -> memutihkan
mutuain                        -> memutuskan
mutusin                        -> memutuskan
n                              -> dan
naek                           -> naik
nafkahin                       -> menafkahi
naggung                        -> menanggung
nagiss                         -> menangis
nah                            -> nah
nahan                          -> menahan
naka                           -> nakal
naksir                         -> menaksir
nakutin                        -> menakutkan
nama'in                        -> namai
namain                         -> namai
namany                         -> namanya
namax                          -> namanya
nambah                         -> menambah
nambahh                        -> bertambah
namnya                         -> namanya
nampar                         -> menampar
nanges                         -> menangis
nanget                         -> sangat
nanggepin                      -> menanggapi
nangiiiiis                     -> menangis
nangiiis                       -> menangis
nangiis                        -> menangis
nangis                         -> menangis
nangiss                        -> menangis
nangisss                       -> menangis
nanny                          -> nenek
nantangin                      -> menantang
nantik                         -> nanti
nanya                          -> bertanya
napa                           -> kenapa
nape                           -> kenapa
napo                           -> kenapa
nari                           -> menari
narik                          -> menarik
nasehatin                      -> menasihati
nasik                          -> nasi
natap                          -> menatap
nati                           -> nanti
nawarin                        -> menawari
ncek                           -> encek
nda                            -> indak
ndak                           -> indak
ndukung                        -> mendukung
ndut                           -> gendut
nee                            -> ini
negri                          -> negeri
neh                            -> ini
nembak                         -> menembak
nempel                         -> menempel
nemuin                         -> menemukan
nengok                         -> menengok
nentuin                        -> menentukan
nerawang                       -> menerawang
nerima                         -> menerima
nerusin                        -> meneruskan
netaas                         -> menetas
netes                          -> menitis
nga                            -> tidak
ngaca                          -> mengaca
ngacaaa                        -> mengaca
ngadain                        -> mengadakan
ngademin                       -> mengademkan
ngadu                          -> mengadu
ngajak                         -> mengajak
ngajar                         -> mengajar
ngajarin                       -> mengajari
ngaji                          -> mengaji
ngajuin                        -> mengajukan
ngak                           -> tidak
ngakaaaakkk                    -> mengakak
ngakak                         -> mengakak
ngakakkk                       -> mengakak
ngaku                          -> mengaku
ngaku"                         -> mengaku-ngaku
ngalah                         -> mengalah
ngalahin                       -> mengalahkan
ngalir                         -> mengalir
ngalirrrrr                     -> mengalir
ngamatin                       -> mengamati
ngambek                        -> mengambek
ngambekan                      -> ambekan
ngambeknya                     -> mengambeknya
ngan                           -> dengan
nganbek                        -> merajuk
nganggepin                     -> menanggapi
ngantar                        -> menghantar
nganteng                       -> tampan
nganterin                      -> menghantarkan
ngantri                        -> mengantri
ngapain                        -> mengapai
ngapasih                       -> mengapa sih
ngapus                         -> menghapus
ngarang                        -> mengarang
ngarep                         -> mengharap
ngareppppp                     -> mengharap
ngarsipin                      -> mengarsipkan
ngasi                          -> mengasih
ngasih                         -> mengasih
ngasih2                        -> mengasih-ngasih
ngata2in                       -> mengatai-ngatai
ngatai                         -> mengatai
ngatain                        -> mengatai
ngatur                         -> mengatur
ngayal                         -> mengkhayal
ngcpin                         -> mengucapkan
ngebala                        -> bala
ngebales                       -> membalas
ngebantu                       -> membantu
ngebedain                      -> membezakan
ngebela                        -> membela
ngebelain                      -> membela
ngebenci                       -> membenci
ngebiarin                      -> membiarkan
ngebolehin                     -> membolehkan
ngebuktiin                     -> membuktikan
ngecek                         -> mengecek
nged                           -> sangat
ngeditnya                      -> mengeditnya
ngedukung                      -> mendukung
ngefans                        -> fan
ngegampar                      -> menggampar
ngegantiin                     -> menggantikan
ngegemesin                     -> menggemaskan
ngegmesin                      -> menggemaskan
ngeh                           -> engah
ngehakimi                      -> menghakimi
ngehancurin                    -> menghancurkan
ngehina                        -> menghina
ngehujat                       -> menghujat
ngeidealin                     -> mengidealkan
ngejatuhin                     -> manjatuhkan
ngejelek                       -> menjelekkan
ngejelek2in                    -> menjelek-jelekkan
ngejilat                       -> menjilat
ngejuangin                     -> memperjuangkan
ngekeh                         -> kekeh
ngekek                         -> mengekek
ngelahirin                     -> melahirkan
ngelakuin                      -> melakukan
ngelaporin                     -> melaporkan
ngelarang                      -> melarang
ngelawak                       -> melawak
ngelawan                       -> melawan
ngelewati                      -> melewati
ngeliat                        -> melihat
ngeliatin                      -> melihati
ngeliatnya                     -> melihatnya
ngelihat                       -> melihat
ngelihatnya                    -> melihatnya
ngeluarin                      -> mengeluarkan
ngelucu                        -> melucu
ngembali                       -> kembali
ngemeng                        -> bercakap
ngepake'                       -> memakai
ngepoin                        -> mengepoi
ngepos                         -> mengepos
ngerampas                      -> merampas
ngerasa                        -> merasa
ngerasain                      -> merasai
ngerayain                      -> merayakan
ngerebut                       -> merebut
ngerendahin                    -> merendahkan
ngerespon                      -> merespons
ngerti                         -> mengerti
ngertiin                       -> mengerti
ngerussak                      -> merosak
ngeselin                       -> mengesalkan
nget                           -> sangat
ngeteh                         -> minum air di kedai
ngetik                         -> mengetik
ngets                          -> sangat
ngetsz                         -> sangat
ngettt                         -> sangat
ngeuh                          -> engah
ngfans                         -> fan
ngg                            -> tidak
ngga                           -> tidak
nggak                          -> tidak
nggali                         -> menggali
nggeh                          -> engah
ngggk                          -> tidak
nggk                           -> tidak
ngidam                         -> mengidam
ngikutin                       -> mengikuti
ngilang                        -> menghilang
ngilangin                      -> menghilangkan
ngimpi                         -> mimpi
ngingetin                      -> mengingatkan
nginjek                        -> menginjak
ngintilin                      -> mengintai
ngintip                        -> mengintip
ngiri                          -> mengiri
ngiriii                        -> mengiri
ngirim                         -> mengirim
ngiringan                      -> mengiringi
ngiritya                       -> mengiritnya
ngitem                         -> menghitam
ngk                            -> tidak
ngkau                          -> kamu
ngkkkkkk                       -> mengakak
ngko                           -> kamu
ngmg                           -> bercakap
ngmgin                         -> mengomongkan
ngmng                          -> bercakap
ngmngin                        -> mengomongkan
ngmngnya                       -> mengomongnya
ngn                            -> dengan
ngobrol                        -> mengobrol
ngoceh                         -> mengoceh
ngocok                         -> mengocok
ngolokin                       -> mengolok
ngom                           -> bercakap
ngomen                         -> mengomentari
ngomenin                       -> mengomentari
ngomentarin                    -> mengomentari
ngomentnya                     -> mengomentarinya
ngomng                         -> bercakap
ngomomg                        -> bercakap
ngomong                        -> bercakap
ngomong"                       -> ngomong-ngomong
ngomongin                      -> mengomongkan
ngomongnya                     -> mengomongnya
ngorbanin                      -> mengorbankan
ngp                            -> mengapa
ngrasain                       -> merasai
ngrebut                        -> merebut
ngri                           -> negeri
ngriii                         -> mengiri
ngrti                          -> mengerti
ngrusak                        -> merosak
ngrusin                        -> mengurusi
ngtain                         -> mengatai
ngtif                          -> negatif
nguburin                       -> menguburkan
ngucapin                       -> mengucapkan
ngulangin                      -> mengulangi
ngumbar                        -> mengumbar
ngumbar2                       -> mengumbar-umbar
ngumpet"                       -> mengumpet-ngumpet
ngumung                        -> bercakap
ngurus                         -> mengurus
ngurusan                       -> mengurusi
ngurusin                       -> mengurusi
nha                            -> nya
ni                             -> ini
nich                           -> nih
nie                            -> ini
nii                            -> ini
nikahin                        -> menikahi
nikmatin                       -> menikmati
nimpuk                         -> menimpuk
nineth                         -> kesembilan
ninggalin                      -> meninggalkan
ninggiin                       -> meninggikan
niru                           -> meniru
niyyyyhhhh                     -> ini
njay                           -> anjay
njayyy                         -> anjay
njerr                          -> anjing
njiirr                         -> anjing
njir                           -> anjing
njirr                          -> anjing
njirrr                         -> anjing
njrittt                        -> anjing
nk                             -> nak
nmbah                          -> menambah
nmbk                           -> menembak
nmnya                          -> namanya
nmpk                           -> nampak
nnt                            -> nanti
nnti                           -> nanti
nntn                           -> menonton
nnton                          -> menonton
nobar                          -> menonton barang
nolongin                       -> menolong
nonton                         -> menonton
nontonny                       -> menontonnya
nontonx                        -> menontonnya
nontonya                       -> menontonnya
novembr                        -> november
nraktir                        -> mentraktir
nrka                           -> neraka
ntab                           -> mantab
ntah                           -> entah
ntap                           -> mantap
ntappp                         -> mantap
ntapsss                        -> mantap
ntar                           -> entar
