Malaya rules_normalizer — 3374 entries
==================================================

&                              -> dan
berfikir                       -> berpikir
berhijap                       -> berhijab
berjinah                       -> berzina
berkluarga                     -> berkeluarga
bermaksut                      -> bermaksud
berntung                       -> beruntung
bersize                        -> bersaiz
bertolernsi                    -> bertoleransi
besarin                        -> membesarkan
beskal                         -> basikal
bet                            -> sangat
bets                           -> sangat
bettt                          -> sangat
betui                          -> betul
beud                           -> sangat
beudd                          -> sangat
beut                           -> sangat
bf                             -> teman lelaki
bff                            -> kawan baik selamanya
bfr                            -> sebelum
bg                             -> bagi
bgd                            -> sangat
bgect                          -> sangat
bget                           -> sangat
bgettt                         -> sangat
bgi                            -> bagi
bgini                          -> begini
bgitu                          -> begitu
bgmana                         -> bagaimana
bgmn                           -> bagaimana
bgmna                          -> bagaimana
bgni                           -> begini
bgs                            -> bagus
bgt                            -> sangat
bgtt                           -> sangat
bgttt                          -> sangat
bgtttt                         -> sangat
bgttttttt                      -> sangat
bgtttttttt                     -> sangat
bgtu                           -> begitu
bgtuu                          -> begitu
bgun                           -> bangun
bgus                           -> bagus
bgussss                        -> bagus
bhagaia                        -> bahagia
bhagia                         -> bahagia
bhas                           -> bahas
bhet                           -> sangat
bhgia                          -> bahagia
bhgiain                        -> membahagiakan
bhijab                         -> berhijab
bhkn                           -> bahkan
bhnya                          -> bahannya
bhw                            -> bahwa
bhwa                           -> bahwa
biarin                         -> biarkan
biasahhh                       -> biasa
biase                          -> biasa
big                            -> besar
bijin                          -> bikin
bike                           -> basikal
bikinin                        -> membikin
bilangin                       -> bilang
bilanh                         -> bilang
bile                           -> bila
bilng                          -> bilang
binawe                         -> binatang
binggo                         -> sangat
bingiiittzz                    -> sangat
bingiit                        -> sangat
bingiittt                      -> sangat
bingit                         -> sangat
bingits                        -> sangat
bingitss                       -> sangat
bingitsss                      -> sangat
bingitt                        -> sangat
bingittzz                      -> sangat
bingitzzzz                     -> sangat
bini                           -> isteri
bird                           -> biru
bisax                          -> bisanya
biza                           -> boleh
bju                            -> baju
bka                            -> buka
bkal                           -> bakal
bkan                           -> bukan
bkin                           -> bikin
bkln                           -> bakalan
bkn                            -> bukan
bla                            -> bila
blajar                         -> belajar
blakon                         -> berlakon
bleh                           -> boleh
blh                            -> boleh
bli                            -> beli
blik                           -> balik
blim                           -> belum
bljr                           -> belajar
blkang                         -> belakang
blkng                          -> belakang
blln                           -> bulan
blm                            -> belum
bln                            -> bulan
blng                           -> bilang
blnja                          -> belanja
bloghhh                        -> bodoh
blom                           -> belum
blum                           -> belum
bn                             -> barisan nasional
bnda                           -> bunda
bner                           -> benar
bner2                          -> benar-benar
bneraan                        -> benaran
bneran                         -> benaran
bnern                          -> benaran
bnerr                          -> benar
bngatt                         -> sangat
bngeet                         -> sangat
bnget                          -> sangat
bngett                         -> sangat
bngettt                        -> sangat
bnggain                        -> banggakan
bngkit                         -> bangkit
bngt                           -> sangat
bngtt                          -> sangat
bngttt                         -> sangat
bngtttt                        -> sangat
bngtzt                         -> sangat
bngun                          -> bangun
bngunlah                       -> bangunlah
bngy                           -> sangat
bnr                            -> benar
bnr2                           -> benar-benar
bnran                          -> benaran
bnrn                           -> benaran
bntar                          -> bentar
bntr                           -> bentar
bntu                           -> bantu
bnyak                          -> banyak
bnyk                           -> banyak
bo'ong                         -> bohong
bodhoo                         -> bodoh
bodhooo                        -> bodoh
bodo                           -> bodoh
body                           -> tubuh
boker                          -> berak
bol3h                          -> boleh
bolang                         -> bocah petualang
bole                           -> boleh
boong                          -> bohong
bosen                          -> bosan
bosenin                        -> membosankan
boss                           -> bos
botakin                        -> botaki
bowling                        -> boling
bpe                            -> berapa
bpkmu                          -> bapakmu
bpknya                         -> bapaknya
bradegan                       -> beradegan
brand                          -> jenama
brangnya                       -> barangnya
brani                          -> berani
branjak                        -> beranjak
brantem                        -> berantem
brapa                          -> berapa
brarti                         -> bererti
brasa                          -> berasa
brbakti                        -> berbakti
brbuat                         -> berbuat
brdiri                         -> berdiri
brdua                          -> berdua
breakfast                      -> makan pagi
bres                           -> beres
brg                            -> barang
brg"                           -> barang-barang
brhasil                        -> berhasil
brhjb                          -> berhijab
briefing                       -> taklimat
brisi                          -> berisi
brita                          -> berita
britanya                       -> beritanya
brjdh                          -> berjodoh
brjodoh                        -> berjodoh
brkunjun                       -> berkunjung
brng                           -> barang
bro                            -> abang
bronis                         -> brondong manis
brpa                           -> berapa
brpndapat                      -> berpendapat
brrt                           -> bererti
brrti                          -> bererti
brsama                         -> bersama
brsma                          -> bersama
brsyukur                       -> bersyukur
brtngkar                       -> bertengkar
bru                            -> baru
brubah                         -> berubah
bruntung                       -> beruntung
brusaha                        -> berusaha
bsa                            -> boleh
bsikal                         -> basikal
bsok                           -> besok
btnggjwb                       -> bertanggungjawab
btuh                           -> butuh
btui                           -> betul
btul                           -> betul
btulan                         -> betulan
btw                            -> dengan cara itu
buanget                        -> sangat
buanyaaak                      -> banyak
buatin                         -> membuat
buatlh                         -> buatlah
buh                            -> letak
bujngn                         -> bujangan
buka                           -> buka
bukak                          -> buka
bukan'a                        -> bukannya
bukn                           -> bukan
buktiin                        -> membuktikan
bulet                          -> bulat
bund                           -> bunda
bungkusin                      -> bungkuskan
burem                          -> buram
busedh                         -> buset
but                            -> tetapi
bwk                            -> bawa
bwt                            -> buat
by                             -> dengan
byak                           -> banyak
byangin                        -> membayangkan
byaran                         -> bayaran
byk                            -> banyak
byr                            -> bayar
bz                             -> sibuk
cabol                          -> cabul
cali                           -> caci
camera                         -> kamera
camna                          -> macam mana
camne                          -> macam mana
camni                          -> macam ini
camnie                         -> macam ini
camnoi                         -> macam mana
campurin                       -> mencampuri
camtu                          -> macam itu
cane                           -> macam mana
cant                           -> tak boleh
canteek                        -> cantik
canti                          -> cantik
cantika                        -> cantik
cantiks                        -> cantik
cantikx                        -> cantiknya
cantinya                       -> cantiknya
cantip                         -> cantik
cantiq                         -> cantik
cantiqs                        -> cantik
cantix                         -> cantik
cantk                          -> cantik
canyk                          -> cantik
capa                           -> siapa
cape                           -> capek
carakerja                      -> cara kerja
caranga                        -> caranya
care                           -> jaga
cargo                          -> kargo
cariin                         -> carikan
catiiiiik                      -> cantik
catokin                        -> ragum
caya                           -> percaya
caye                           -> percaya
cba                            -> coba
ccok                           -> sesuai
cctv                           -> kamera litar tertutup
ceklist                        -> senarai semak
celako                         -> celaka
cem                            -> macam
cepet                          -> cepat
cepetan                        -> cepat lah
ceritax                        -> ceritanya
cewe                           -> cewek
cewer                          -> jewer
cheap                          -> murah
check                          -> semak
chelalyyu                      -> selalu
chub                           -> chubby
cian                           -> kesian
ciapa                          -> siapa
cikit                          -> sikit
cini                           -> sini
cino                           -> cina
cintax                         -> cintanya
ciptain                        -> menciptakan
ciput                          -> sedikit
cite                           -> cerita
citer                          -> cerita
ciusss                         -> serius
ciyusss                        -> serius
ckit                           -> sikit
ckp                            -> cukup
ckrng                          -> sekarang
ckup                           -> cukup
class                          -> kelas
cm                             -> macam
cma                            -> cuma
cman                           -> cuman
cmkn                           -> camkan
cmn                            -> cuman
cmne                           -> macam mana
cmni                           -> macam ini
cmpak                          -> campak
cmpur                          -> campur
cntiiikkk                      -> cantik
cntik                          -> cantik
cntikan                        -> cantikan
cntikk                         -> cantik
cntiknya                       -> cantiknya
cntk                           -> cantik
cobain                         -> mencuba
cobak                          -> coba
cocokny                        -> cocoknya
cocokx                         -> cocoknya
cogan                          -> lelaki tampan
comen                          -> komen
comen2nya                      -> komen-komennya
coment                         -> komen
comment2nya                    -> komen-komennya
committed                      -> komited
comnet                         -> komen
comntr                         -> komen
company                        -> syarikat
complain                       -> aduan
confirm                        -> sah
confirmed                      -> disahkan
corn                           -> jagung
couldnt                        -> tak boleh
cowo                           -> cowok
coxok                          -> sesuai
cpa                            -> siapa
cpet                           -> cepat
cpit                           -> sipit
cr                             -> cari
crew                           -> krew
cri                            -> cari
critamu                        -> ceritamu
cuaaantikk                     -> cantik
cuaantik                       -> cantik
cuantek                        -> cantik
cuantik                        -> cantik
cuantikkk                      -> cantik
cubanget                       -> lucu sangat
cube                           -> cuba
cuchook                        -> sesuai
cuco                           -> sesuai
cucok                          -> cucuk
cuma                           -> cuma
cumn                           -> cuman
curinyaa                       -> curinya
cust                           -> pelanggan
